video_id,variant,caption,top_frame_idx,max_similarity,flip_vs_factual
v_BaseballPitch_g18_c04,counterfactual,a person does not video of baseballpitch,0,0.2813350558280945,False
v_BaseballPitch_g18_c06,factual,a video of baseballpitch,2,0.2857339382171631,NA
v_BaseballPitch_g18_c06,counterfactual,a person does not video of baseballpitch,2,0.2726063132286072,False
v_BaseballPitch_g19_c03,factual,a video of baseballpitch,4,0.3079201281070709,NA
v_BaseballPitch_g19_c03,counterfactual,a person does not video of baseballpitch,4,0.28083211183547974,False
v_BaseballPitch_g08_c07,factual,a video of baseballpitch,0,0.3099428415298462,NA
v_BaseballPitch_g08_c07,counterfactual,a person does not video of baseballpitch,0,0.29030418395996094,False
v_BaseballPitch_g01_c04,factual,a video of baseballpitch,2,0.28111031651496887,NA
v_BaseballPitch_g01_c04,counterfactual,a person does not video of baseballpitch,1,0.2766549289226532,True
v_BaseballPitch_g02_c02,factual,a video of baseballpitch,0,0.28922921419143677,NA
v_BaseballPitch_g02_c02,counterfactual,a person does not video of baseballpitch,0,0.27369940280914307,False
v_BaseballPitch_g13_c07,factual,a video of baseballpitch,1,0.28254616260528564,NA
v_BaseballPitch_g13_c07,counterfactual,a person does not video of baseballpitch,1,0.2786100506782532,False
v_BaseballPitch_g13_c05,factual,a video of baseballpitch,0,0.28463464975357056,NA
v_BaseballPitch_g13_c05,counterfactual,a person does not video of baseballpitch,0,0.28205472230911255,False
v_BaseballPitch_g03_c04,factual,a video of baseballpitch,1,0.28854385018348694,NA
v_BaseballPitch_g03_c04,counterfactual,a person does not video of baseballpitch,1,0.2731509804725647,False
v_BaseballPitch_g02_c04,factual,a video of baseballpitch,2,0.2890493869781494,NA
v_BaseballPitch_g02_c04,counterfactual,a person does not video of baseballpitch,0,0.27450037002563477,True
v_BaseballPitch_g13_c03,factual,a video of baseballpitch,4,0.28744974732398987,NA
v_BaseballPitch_g13_c03,counterfactual,a person does not video of baseballpitch,4,0.2824926972389221,False
v_BaseballPitch_g25_c01,factual,a video of baseballpitch,1,0.3125954568386078,NA
v_BaseballPitch_g25_c01,counterfactual,a person does not video of baseballpitch,1,0.2821156084537506,False
v_BaseballPitch_g03_c02,factual,a video of baseballpitch,1,0.2890101671218872,NA
v_BaseballPitch_g03_c02,counterfactual,a person does not video of baseballpitch,2,0.28148382902145386,True
v_BaseballPitch_g16_c03,factual,a video of baseballpitch,3,0.3032161593437195,NA
v_BaseballPitch_g16_c03,counterfactual,a person does not video of baseballpitch,1,0.2780131697654724,True
v_BaseballPitch_g17_c05,factual,a video of baseballpitch,2,0.2988026738166809,NA
v_BaseballPitch_g17_c05,counterfactual,a person does not video of baseballpitch,1,0.28459787368774414,True
